Border,Date,Measure,Value,Average
US-Mexico Border,03/01/2015 12:00:00 AM,Truck Containers Full,355812,311405
US-Mexico Border,03/01/2015 12:00:00 AM,Bus Passengers,223617,192292
US-Canada Border,03/01/2015 12:00:00 AM,Rail Containers Full,146513,131321
US-Mexico Border,03/01/2015 12:00:00 AM,Truck Containers Empty,137292,126859
US-Canada Border,03/01/2015 12:00:00 AM,Truck Containers Empty,123777,109288
US-Canada Border,03/01/2015 12:00:00 AM,Bus Passengers,114560,104220
US-Canada Border,03/01/2015 12:00:00 AM,Rail Containers Empty,68957,60815
US-Mexico Border,03/01/2015 12:00:00 AM,Rail Containers Full,42479,35050
US-Mexico Border,03/01/2015 12:00:00 AM,Rail Containers Empty,38723,35839
US-Mexico Border,03/01/2015 12:00:00 AM,Buses,16816,14933
US-Canada Border,03/01/2015 12:00:00 AM,Pedestrians,16141,11534
US-Canada Border,03/01/2015 12:00:00 AM,Train Passengers,14739,12263
US-Canada Border,03/01/2015 12:00:00 AM,Buses,5982,5840
US-Canada Border,03/01/2015 12:00:00 AM,Trains,2644,2521
US-Mexico Border,03/01/2015 12:00:00 AM,Train Passengers,924,777
US-Mexico Border,03/01/2015 12:00:00 AM,Trains,850,776
US-Mexico Border,03/01/2014 12:00:00 AM,Personal Vehicle Passengers,10770574,9874140
US-Mexico Border,03/01/2014 12:00:00 AM,Personal Vehicles,5871236,5371071
US-Canada Border,03/01/2014 12:00:00 AM,Personal Vehicle Passengers,4446192,3620400
US-Mexico Border,03/01/2014 12:00:00 AM,Pedestrians,3708458,3402992
US-Canada Border,03/01/2014 12:00:00 AM,Personal Vehicles,2356327,2026152
US-Canada Border,03/01/2014 12:00:00 AM,Trucks,494908,451900
US-Mexico Border,03/01/2014 12:00:00 AM,Trucks,467828,432743
US-Canada Border,03/01/2014 12:00:00 AM,Truck Containers Full,370215,336493
US-Mexico Border,03/01/2014 12:00:00 AM,Truck Containers Full,335320,305080
US-Mexico Border,03/01/2014 12:00:00 AM,Bus Passengers,225340,195969
US-Canada Border,03/01/2014 12:00:00 AM,Rail Containers Full,133196,120729
US-Canada Border,03/01/2014 12:00:00 AM,Bus Passengers,132912,110709
US-Mexico Border,03/01/2014 12:00:00 AM,Truck Containers Empty,129838,129572
US-Canada Border,03/01/2014 12:00:00 AM,Truck Containers Empty,117023,111698
US-Canada Border,03/01/2014 12:00:00 AM,Rail Containers Empty,64003,56181
US-Mexico Border,03/01/2014 12:00:00 AM,Rail Containers Full,41051,34040
US-Mexico Border,03/01/2014 12:00:00 AM,Rail Containers Empty,37412,33000
US-Mexico Border,03/01/2014 12:00:00 AM,Buses,19868,15604
US-Canada Border,03/01/2014 12:00:00 AM,Pedestrians,16327,12023
US-Canada Border,03/01/2014 12:00:00 AM,Train Passengers,13625,12125
US-Canada Border,03/01/2014 12:00:00 AM,Buses,6529,6109
US-Canada Border,03/01/2014 12:00:00 AM,Trains,2283,2230
US-Mexico Border,03/01/2014 12:00:00 AM,Train Passengers,821,779
US-Mexico Border,03/01/2014 12:00:00 AM,Trains,820,736
US-Mexico Border,03/01/2013 12:00:00 AM,Personal Vehicle Passengers,10246838,9266117
US-Mexico Border,03/01/2013 12:00:00 AM,Personal Vehicles,5545763,5158616
US-Canada Border,03/01/2013 12:00:00 AM,Personal Vehicle Passengers,5043062,3871244
US-Mexico Border,03/01/2013 12:00:00 AM,Pedestrians,3631710,3306353
US-Canada Border,03/01/2013 12:00:00 AM,Personal Vehicles,2625752,2188957
US-Canada Border,03/01/2013 12:00:00 AM,Trucks,469482,452910
US-Mexico Border,03/01/2013 12:00:00 AM,Trucks,429118,418388
US-Canada Border,03/01/2013 12:00:00 AM,Truck Containers Full,337565,327608
US-Mexico Border,03/01/2013 12:00:00 AM,Truck Containers Full,301659,287648
US-Mexico Border,03/01/2013 12:00:00 AM,Bus Passengers,280591,221217
US-Canada Border,03/01/2013 12:00:00 AM,Bus Passengers,155080,113637
US-Canada Border,03/01/2013 12:00:00 AM,Rail Containers Full,132645,123669
US-Mexico Border,03/01/2013 12:00:00 AM,Truck Containers Empty,125227,129393
US-Canada Border,03/01/2013 12:00:00 AM,Truck Containers Empty,113800,115694
US-Canada Border,03/01/2013 12:00:00 AM,Rail Containers Empty,66338,54946
US-Mexico Border,03/01/2013 12:00:00 AM,Rail Containers Full,39194,31475
US-Mexico Border,03/01/2013 12:00:00 AM,Rail Containers Empty,32227,30350
US-Canada Border,03/01/2013 12:00:00 AM,Pedestrians,19713,12163
US-Mexico Border,03/01/2013 12:00:00 AM,Buses,17877,16738
US-Canada Border,03/01/2013 12:00:00 AM,Train Passengers,15517,11080
US-Canada Border,03/01/2013 12:00:00 AM,Buses,6914,5915
US-Canada Border,03/01/2013 12:00:00 AM,Trains,2448,2216
US-Mexico Border,03/01/2013 12:00:00 AM,Trains,771,707
US-Mexico Border,03/01/2013 12:00:00 AM,Train Passengers,387,328
US-Mexico Border,03/01/2012 12:00:00 AM,Personal Vehicle Passengers,9470678,9070261
US-Mexico Border,03/01/2012 12:00:00 AM,Personal Vehicles,5279998,5033779
US-Canada Border,03/01/2012 12:00:00 AM,Personal Vehicle Passengers,4787539,3798192
US-Mexico Border,03/01/2012 12:00:00 AM,Pedestrians,3649248,3369235
US-Canada Border,03/01/2012 12:00:00 AM,Personal Vehicles,2549752,2153977
US-Canada Border,03/01/2012 12:00:00 AM,Trucks,485415,451810
US-Mexico Border,03/01/2012 12:00:00 AM,Trucks,458966,416405
US-Canada Border,03/01/2012 12:00:00 AM,Truck Containers Full,359997,338045
US-Mexico Border,03/01/2012 12:00:00 AM,Truck Containers Full,319519,284957
US-Mexico Border,03/01/2012 12:00:00 AM,Bus Passengers,243669,217103
US-Canada Border,03/01/2012 12:00:00 AM,Bus Passengers,150053,128514
US-Mexico Border,03/01/2012 12:00:00 AM,Truck Containers Empty,136771,131323
US-Canada Border,03/01/2012 12:00:00 AM,Rail Containers Full,123272,113404
US-Canada Border,03/01/2012 12:00:00 AM,Truck Containers Empty,107108,99163
US-Canada Border,03/01/2012 12:00:00 AM,Rail Containers Empty,61814,54869
US-Mexico Border,03/01/2012 12:00:00 AM,Rail Containers Empty,38912,36166
US-Mexico Border,03/01/2012 12:00:00 AM,Rail Containers Full,34728,29152
US-Canada Border,03/01/2012 12:00:00 AM,Pedestrians,27125,18245
US-Mexico Border,03/01/2012 12:00:00 AM,Buses,17394,16462
US-Canada Border,03/01/2012 12:00:00 AM,Train Passengers,15466,12502
US-Canada Border,03/01/2012 12:00:00 AM,Buses,6997,6748
US-Canada Border,03/01/2012 12:00:00 AM,Trains,2407,2190
US-Mexico Border,03/01/2012 12:00:00 AM,Trains,750,700
US-Mexico Border,03/01/2012 12:00:00 AM,Train Passengers,312,239
US-Mexico Border,03/01/2011 12:00:00 AM,Personal Vehicle Passengers,9269845,8834365
US-Mexico Border,03/01/2011 12:00:00 AM,Personal Vehicles,5248946,4900525
US-Canada Border,03/01/2011 12:00:00 AM,Personal Vehicle Passengers,4279200,3434887
US-Mexico Border,03/01/2011 12:00:00 AM,Pedestrians,3635797,3222323
US-Canada Border,03/01/2011 12:00:00 AM,Personal Vehicles,2324489,1957787
US-Canada Border,03/01/2011 12:00:00 AM,Trucks,503747,429956
US-Mexico Border,03/01/2011 12:00:00 AM,Trucks,450390,382823
US-Canada Border,03/01/2011 12:00:00 AM,Truck Containers Full,377162,325264
US-Mexico Border,03/01/2011 12:00:00 AM,Truck Containers Full,314814,259770
US-Mexico Border,03/01/2011 12:00:00 AM,Bus Passengers,239925,206111
US-Canada Border,03/01/2011 12:00:00 AM,Bus Passengers,146506,125683
US-Mexico Border,03/01/2011 12:00:00 AM,Truck Containers Empty,137985,119976
US-Canada Border,03/01/2011 12:00:00 AM,Rail Containers Full,107810,99346
US-Canada Border,03/01/2011 12:00:00 AM,Truck Containers Empty,107381,93294
US-Canada Border,03/01/2011 12:00:00 AM,Rail Containers Empty,52229,45036
US-Mexico Border,03/01/2011 12:00:00 AM,Rail Containers Empty,36312,28908
US-Mexico Border,03/01/2011 12:00:00 AM,Rail Containers Full,30907,26595
US-Canada Border,03/01/2011 12:00:00 AM,Pedestrians,18890,11574
US-Mexico Border,03/01/2011 12:00:00 AM,Buses,18183,16375
US-Canada Border,03/01/2011 12:00:00 AM,Train Passengers,11857,11916
US-Canada Border,03/01/2011 12:00:00 AM,Buses,7510,6776
US-Canada Border,03/01/2011 12:00:00 AM,Trains,2141,2012
US-Mexico Border,03/01/2011 12:00:00 AM,Trains,710,602
US-Mexico Border,03/01/2011 12:00:00 AM,Train Passengers,346,292
US-Mexico Border,03/01/2010 12:00:00 AM,Personal Vehicle Passengers,10866347,10656548
US-Mexico Border,03/01/2010 12:00:00 AM,Personal Vehicles,5622198,5326183
US-Canada Border,03/01/2010 12:00:00 AM,Personal Vehicle Passengers,4138823,3443802
US-Mexico Border,03/01/2010 12:00:00 AM,Pedestrians,3668053,3135462
US-Canada Border,03/01/2010 12:00:00 AM,Personal Vehicles,2119171,1805447
US-Canada Border,03/01/2010 12:00:00 AM,Trucks,492826,416555
US-Mexico Border,03/01/2010 12:00:00 AM,Trucks,437589,364023
US-Canada Border,03/01/2010 12:00:00 AM,Truck Containers Full,380565,321576
US-Mexico Border,03/01/2010 12:00:00 AM,Truck Containers Full,300365,243661
US-Mexico Border,03/01/2010 12:00:00 AM,Bus Passengers,229882,185028
US-Canada Border,03/01/2010 12:00:00 AM,Bus Passengers,152298,139126
US-Mexico Border,03/01/2010 12:00:00 AM,Truck Containers Empty,139904,121793
US-Canada Border,03/01/2010 12:00:00 AM,Rail Containers Full,107441,99916
US-Canada Border,03/01/2010 12:00:00 AM,Truck Containers Empty,99765,89005
US-Canada Border,03/01/2010 12:00:00 AM,Rail Containers Empty,53594,45352
US-Mexico Border,03/01/2010 12:00:00 AM,Rail Containers Empty,36341,28575
US-Mexico Border,03/01/2010 12:00:00 AM,Rail Containers Full,29394,23495
US-Canada Border,03/01/2010 12:00:00 AM,Pedestrians,24023,13619
US-Mexico Border,03/01/2010 12:00:00 AM,Buses,19731,17284
US-Canada Border,03/01/2010 12:00:00 AM,Train Passengers,12467,12998
US-Canada Border,03/01/2010 12:00:00 AM,Buses,8049,7257
US-Canada Border,03/01/2010 12:00:00 AM,Trains,2240,2055
US-Mexico Border,03/01/2010 12:00:00 AM,Trains,709,596
US-Mexico Border,03/01/2010 12:00:00 AM,Train Passengers,314,270
US-Mexico Border,03/01/2009 12:00:00 AM,Personal Vehicle Passengers,12037391,11508234
US-Mexico Border,03/01/2009 12:00:00 AM,Personal Vehicles,6030705,5750903
US-Canada Border,03/01/2009 12:00:00 AM,Personal Vehicle Passengers,3836164,3260900
US-Mexico Border,03/01/2009 12:00:00 AM,Pedestrians,3701613,3426194
US-Canada Border,03/01/2009 12:00:00 AM,Personal Vehicles,1971344,1697737
US-Canada Border,03/01/2009 12:00:00 AM,Trucks,422741,384768
US-Mexico Border,03/01/2009 12:00:00 AM,Trucks,363836,333709
US-Canada Border,03/01/2009 12:00:00 AM,Truck Containers Full,314249,301404
US-Mexico Border,03/01/2009 12:00:00 AM,Truck Containers Full,236095,208837
US-Mexico Border,03/01/2009 12:00:00 AM,Bus Passengers,216219,205998
US-Canada Border,03/01/2009 12:00:00 AM,Bus Passengers,150183,145409
US-Mexico Border,03/01/2009 12:00:00 AM,Truck Containers Empty,128497,124196
US-Canada Border,03/01/2009 12:00:00 AM,Truck Containers Empty,89544,79562
US-Canada Border,03/01/2009 12:00:00 AM,Rail Containers Full,83360,80254
US-Canada Border,03/01/2009 12:00:00 AM,Rail Containers Empty,49204,43189
US-Mexico Border,03/01/2009 12:00:00 AM,Rail Containers Empty,29260,25967
US-Canada Border,03/01/2009 12:00:00 AM,Pedestrians,22712,12965
US-Mexico Border,03/01/2009 12:00:00 AM,Rail Containers Full,20976,16036
US-Mexico Border,03/01/2009 12:00:00 AM,Buses,20050,19362
US-Canada Border,03/01/2009 12:00:00 AM,Train Passengers,10137,9114
US-Canada Border,03/01/2009 12:00:00 AM,Buses,7841,7260
US-Canada Border,03/01/2009 12:00:00 AM,Trains,2013,1945
US-Mexico Border,03/01/2009 12:00:00 AM,Trains,708,615
US-Mexico Border,03/01/2009 12:00:00 AM,Train Passengers,290,496
US-Mexico Border,03/01/2008 12:00:00 AM,Personal Vehicle Passengers,14209226,12583118
US-Mexico Border,03/01/2008 12:00:00 AM,Personal Vehicles,6894357,6458970
US-Canada Border,03/01/2008 12:00:00 AM,Personal Vehicle Passengers,4602875,3729407
US-Mexico Border,03/01/2008 12:00:00 AM,Pedestrians,4101431,3880551
US-Canada Border,03/01/2008 12:00:00 AM,Personal Vehicles,2243980,1960262
US-Canada Border,03/01/2008 12:00:00 AM,Trucks,507685,503774
US-Canada Border,03/01/2008 12:00:00 AM,Truck Containers Full,412177,407966
US-Mexico Border,03/01/2008 12:00:00 AM,Trucks,407802,411081
US-Mexico Border,03/01/2008 12:00:00 AM,Bus Passengers,313229,286357
US-Mexico Border,03/01/2008 12:00:00 AM,Truck Containers Full,258155,257176
US-Canada Border,03/01/2008 12:00:00 AM,Bus Passengers,244614,231254
US-Mexico Border,03/01/2008 12:00:00 AM,Truck Containers Empty,145937,149598
US-Canada Border,03/01/2008 12:00:00 AM,Rail Containers Full,119579,110392
US-Canada Border,03/01/2008 12:00:00 AM,Truck Containers Empty,93350,93289
US-Canada Border,03/01/2008 12:00:00 AM,Rail Containers Empty,48494,46077
US-Mexico Border,03/01/2008 12:00:00 AM,Rail Containers Empty,37593,36988
US-Mexico Border,03/01/2008 12:00:00 AM,Rail Containers Full,29397,25530
US-Canada Border,03/01/2008 12:00:00 AM,Pedestrians,23532,18047
US-Mexico Border,03/01/2008 12:00:00 AM,Buses,23070,21489
US-Canada Border,03/01/2008 12:00:00 AM,Train Passengers,12583,11115
US-Canada Border,03/01/2008 12:00:00 AM,Buses,8946,7986
US-Canada Border,03/01/2008 12:00:00 AM,Trains,2597,2369
US-Mexico Border,03/01/2008 12:00:00 AM,Train Passengers,1545,1598
US-Mexico Border,03/01/2008 12:00:00 AM,Trains,872,842
US-Mexico Border,03/01/2007 12:00:00 AM,Personal Vehicle Passengers,14669731,13289075
US-Mexico Border,03/01/2007 12:00:00 AM,Personal Vehicles,7282381,6748409
US-Canada Border,03/01/2007 12:00:00 AM,Personal Vehicle Passengers,4287711,3392767
US-Mexico Border,03/01/2007 12:00:00 AM,Pedestrians,4133135,3759456
US-Canada Border,03/01/2007 12:00:00 AM,Personal Vehicles,2229742,1938016
US-Canada Border,03/01/2007 12:00:00 AM,Trucks,587330,525833
US-Canada Border,03/01/2007 12:00:00 AM,Truck Containers Full,485451,433490
US-Mexico Border,03/01/2007 12:00:00 AM,Trucks,437841,384626
US-Mexico Border,03/01/2007 12:00:00 AM,Truck Containers Full,278342,240273
US-Mexico Border,03/01/2007 12:00:00 AM,Bus Passengers,272215,232479
US-Canada Border,03/01/2007 12:00:00 AM,Bus Passengers,230391,193050
US-Mexico Border,03/01/2007 12:00:00 AM,Truck Containers Empty,150614,140377
US-Canada Border,03/01/2007 12:00:00 AM,Rail Containers Full,126081,106005
US-Canada Border,03/01/2007 12:00:00 AM,Truck Containers Empty,88717,78694
US-Canada Border,03/01/2007 12:00:00 AM,Rail Containers Empty,46108,40489
US-Mexico Border,03/01/2007 12:00:00 AM,Rail Containers Empty,38760,35686
US-Mexico Border,03/01/2007 12:00:00 AM,Rail Containers Full,32320,26452
US-Canada Border,03/01/2007 12:00:00 AM,Pedestrians,23973,13479
US-Mexico Border,03/01/2007 12:00:00 AM,Buses,21880,20590
US-Canada Border,03/01/2007 12:00:00 AM,Train Passengers,10109,8958
US-Canada Border,03/01/2007 12:00:00 AM,Buses,8927,7925
US-Canada Border,03/01/2007 12:00:00 AM,Trains,2619,2314
US-Mexico Border,03/01/2007 12:00:00 AM,Train Passengers,1817,1699
US-Mexico Border,03/01/2007 12:00:00 AM,Trains,951,819
US-Mexico Border,03/01/2006 12:00:00 AM,Personal Vehicle Passengers,15811178,14901833
US-Mexico Border,03/01/2006 12:00:00 AM,Personal Vehicles,7876937,7344083
US-Canada Border,03/01/2006 12:00:00 AM,Personal Vehicle Passengers,4854042,4111190
US-Mexico Border,03/01/2006 12:00:00 AM,Pedestrians,3889843,3474366
US-Canada Border,03/01/2006 12:00:00 AM,Personal Vehicles,2340385,2015505
US-Canada Border,03/01/2006 12:00:00 AM,Trucks,600750,537954
US-Canada Border,03/01/2006 12:00:00 AM,Truck Containers Full,530942,473842
US-Mexico Border,03/01/2006 12:00:00 AM,Trucks,428671,386905
US-Mexico Border,03/01/2006 12:00:00 AM,Bus Passengers,284313,255299
US-Mexico Border,03/01/2006 12:00:00 AM,Truck Containers Full,283122,252829
US-Canada Border,03/01/2006 12:00:00 AM,Bus Passengers,241209,230986
US-Mexico Border,03/01/2006 12:00:00 AM,Truck Containers Empty,143420,130921
US-Canada Border,03/01/2006 12:00:00 AM,Rail Containers Full,130854,119608
US-Canada Border,03/01/2006 12:00:00 AM,Truck Containers Empty,90922,81355
US-Canada Border,03/01/2006 12:00:00 AM,Rail Containers Empty,44368,40694
US-Mexico Border,03/01/2006 12:00:00 AM,Rail Containers Empty,35841,32118
US-Mexico Border,03/01/2006 12:00:00 AM,Rail Containers Full,34678,28311
US-Canada Border,03/01/2006 12:00:00 AM,Pedestrians,26385,20271
US-Mexico Border,03/01/2006 12:00:00 AM,Buses,22077,20231
US-Canada Border,03/01/2006 12:00:00 AM,Train Passengers,12460,11021
US-Canada Border,03/01/2006 12:00:00 AM,Buses,9202,8973
US-Canada Border,03/01/2006 12:00:00 AM,Trains,2812,2613
US-Mexico Border,03/01/2006 12:00:00 AM,Train Passengers,1921,1771
US-Mexico Border,03/01/2006 12:00:00 AM,Trains,886,785
US-Mexico Border,03/01/2005 12:00:00 AM,Personal Vehicle Passengers,16467485,15067032
US-Mexico Border,03/01/2005 12:00:00 AM,Personal Vehicles,7931685,7437505
US-Canada Border,03/01/2005 12:00:00 AM,Personal Vehicle Passengers,4753856,3995994
US-Mexico Border,03/01/2005 12:00:00 AM,Pedestrians,4527151,3760510
US-Canada Border,03/01/2005 12:00:00 AM,Personal Vehicles,2336282,1999991
US-Canada Border,03/01/2005 12:00:00 AM,Trucks,591197,531681
US-Canada Border,03/01/2005 12:00:00 AM,Truck Containers Full,495892,446747
US-Mexico Border,03/01/2005 12:00:00 AM,Trucks,397724,364056
US-Mexico Border,03/01/2005 12:00:00 AM,Bus Passengers,325525,251130
US-Mexico Border,03/01/2005 12:00:00 AM,Truck Containers Full,255704,236289
US-Canada Border,03/01/2005 12:00:00 AM,Bus Passengers,238103,218796
US-Mexico Border,03/01/2005 12:00:00 AM,Truck Containers Empty,138427,133891
US-Canada Border,03/01/2005 12:00:00 AM,Rail Containers Full,131631,119509
US-Canada Border,03/01/2005 12:00:00 AM,Truck Containers Empty,83435,75086
US-Canada Border,03/01/2005 12:00:00 AM,Rail Containers Empty,39818,37884
US-Mexico Border,03/01/2005 12:00:00 AM,Rail Containers Empty,33093,32159
US-Canada Border,03/01/2005 12:00:00 AM,Pedestrians,28760,21740
US-Mexico Border,03/01/2005 12:00:00 AM,Rail Containers Full,28642,23733
US-Mexico Border,03/01/2005 12:00:00 AM,Buses,23260,20034
US-Canada Border,03/01/2005 12:00:00 AM,Train Passengers,13025,10805
US-Canada Border,03/01/2005 12:00:00 AM,Buses,9705,9075
US-Canada Border,03/01/2005 12:00:00 AM,Trains,2724,2564
US-Mexico Border,03/01/2005 12:00:00 AM,Train Passengers,1564,1378
US-Mexico Border,03/01/2005 12:00:00 AM,Trains,762,690
US-Mexico Border,03/01/2004 12:00:00 AM,Personal Vehicle Passengers,16218883,15363553
US-Mexico Border,03/01/2004 12:00:00 AM,Personal Vehicles,7891407,7343718
US-Canada Border,03/01/2004 12:00:00 AM,Personal Vehicle Passengers,4742473,4016194
US-Mexico Border,03/01/2004 12:00:00 AM,Pedestrians,4464192,4006202
US-Canada Border,03/01/2004 12:00:00 AM,Personal Vehicles,2307106,2074989
US-Canada Border,03/01/2004 12:00:00 AM,Trucks,628185,530766
US-Canada Border,03/01/2004 12:00:00 AM,Truck Containers Full,524750,446440
US-Mexico Border,03/01/2004 12:00:00 AM,Trucks,421153,355869
US-Mexico Border,03/01/2004 12:00:00 AM,Bus Passengers,295450,282073
US-Canada Border,03/01/2004 12:00:00 AM,Bus Passengers,277226,247953
US-Mexico Border,03/01/2004 12:00:00 AM,Truck Containers Full,268100,223097
US-Mexico Border,03/01/2004 12:00:00 AM,Truck Containers Empty,151427,134312
US-Canada Border,03/01/2004 12:00:00 AM,Rail Containers Full,131300,113137
US-Canada Border,03/01/2004 12:00:00 AM,Truck Containers Empty,88166,76918
US-Canada Border,03/01/2004 12:00:00 AM,Rail Containers Empty,42036,34464
US-Mexico Border,03/01/2004 12:00:00 AM,Rail Containers Empty,32108,28549
US-Canada Border,03/01/2004 12:00:00 AM,Pedestrians,29349,30139
US-Mexico Border,03/01/2004 12:00:00 AM,Rail Containers Full,25403,19297
US-Mexico Border,03/01/2004 12:00:00 AM,Buses,22994,22948
US-Canada Border,03/01/2004 12:00:00 AM,Train Passengers,14636,13345
US-Canada Border,03/01/2004 12:00:00 AM,Buses,11687,10474
US-Canada Border,03/01/2004 12:00:00 AM,Trains,3037,2682
US-Mexico Border,03/01/2004 12:00:00 AM,Train Passengers,1160,1047
US-Mexico Border,03/01/2004 12:00:00 AM,Trains,690,629
US-Mexico Border,03/01/2003 12:00:00 AM,Personal Vehicle Passengers,16105595,15279368
US-Mexico Border,03/01/2003 12:00:00 AM,Personal Vehicles,7374919,7088160
US-Canada Border,03/01/2003 12:00:00 AM,Personal Vehicle Passengers,4677494,4172781
US-Mexico Border,03/01/2003 12:00:00 AM,Pedestrians,4415167,4139318
US-Canada Border,03/01/2003 12:00:00 AM,Personal Vehicles,2241652,2121330
US-Canada Border,03/01/2003 12:00:00 AM,Trucks,584957,562562
US-Canada Border,03/01/2003 12:00:00 AM,Truck Containers Full,490917,473463
US-Mexico Border,03/01/2003 12:00:00 AM,Trucks,368711,350998
US-Mexico Border,03/01/2003 12:00:00 AM,Bus Passengers,315608,333029
US-Canada Border,03/01/2003 12:00:00 AM,Bus Passengers,270472,249926
US-Mexico Border,03/01/2003 12:00:00 AM,Truck Containers Full,229088,209496
US-Mexico Border,03/01/2003 12:00:00 AM,Truck Containers Empty,143756,142421
US-Canada Border,03/01/2003 12:00:00 AM,Rail Containers Full,122768,114204
US-Canada Border,03/01/2003 12:00:00 AM,Truck Containers Empty,83940,84135
US-Canada Border,03/01/2003 12:00:00 AM,Rail Containers Empty,39258,35484
US-Canada Border,03/01/2003 12:00:00 AM,Pedestrians,37417,26036
US-Mexico Border,03/01/2003 12:00:00 AM,Rail Containers Empty,28531,27161
US-Mexico Border,03/01/2003 12:00:00 AM,Buses,25251,24626
US-Mexico Border,03/01/2003 12:00:00 AM,Rail Containers Full,24245,21235
US-Canada Border,03/01/2003 12:00:00 AM,Train Passengers,15640,14660
US-Canada Border,03/01/2003 12:00:00 AM,Buses,11325,10848
US-Canada Border,03/01/2003 12:00:00 AM,Trains,2783,2631
US-Mexico Border,03/01/2003 12:00:00 AM,Train Passengers,1050,960
US-Mexico Border,03/01/2003 12:00:00 AM,Trains,618,622
US-Mexico Border,03/01/2002 12:00:00 AM,Personal Vehicle Passengers,16891772,15680152
US-Mexico Border,03/01/2002 12:00:00 AM,Personal Vehicles,7549029,7016256
US-Canada Border,03/01/2002 12:00:00 AM,Personal Vehicle Passengers,5377216,4291540
US-Mexico Border,03/01/2002 12:00:00 AM,Pedestrians,4487679,3920594
US-Canada Border,03/01/2002 12:00:00 AM,Personal Vehicles,2487140,2138902
US-Canada Border,03/01/2002 12:00:00 AM,Trucks,568295,543969
US-Canada Border,03/01/2002 12:00:00 AM,Truck Containers Full,478046,447904
US-Mexico Border,03/01/2002 12:00:00 AM,Trucks,378634,357209
US-Mexico Border,03/01/2002 12:00:00 AM,Bus Passengers,371230,284281
US-Canada Border,03/01/2002 12:00:00 AM,Bus Passengers,260412,213788
US-Mexico Border,03/01/2002 12:00:00 AM,Truck Containers Full,215011,198763
US-Mexico Border,03/01/2002 12:00:00 AM,Truck Containers Empty,163988,158917
US-Canada Border,03/01/2002 12:00:00 AM,Rail Containers Full,124671,103510
US-Canada Border,03/01/2002 12:00:00 AM,Truck Containers Empty,85994,80399
US-Canada Border,03/01/2002 12:00:00 AM,Pedestrians,36395,25498
US-Canada Border,03/01/2002 12:00:00 AM,Rail Containers Empty,36373,32489
US-Mexico Border,03/01/2002 12:00:00 AM,Rail Containers Empty,30957,26230
US-Mexico Border,03/01/2002 12:00:00 AM,Buses,25760,25627
US-Mexico Border,03/01/2002 12:00:00 AM,Rail Containers Full,23691,19273
US-Canada Border,03/01/2002 12:00:00 AM,Train Passengers,16788,14150
US-Canada Border,03/01/2002 12:00:00 AM,Buses,10375,8468
US-Canada Border,03/01/2002 12:00:00 AM,Trains,2786,2621
US-Mexico Border,03/01/2002 12:00:00 AM,Train Passengers,1696,1569
US-Mexico Border,03/01/2002 12:00:00 AM,Trains,646,632
US-Mexico Border,03/01/2001 12:00:00 AM,Personal Vehicle Passengers,20926836,19458279
US-Mexico Border,03/01/2001 12:00:00 AM,Personal Vehicles,8242638,7543522
US-Canada Border,03/01/2001 12:00:00 AM,Personal Vehicle Passengers,6286079,5420192
US-Mexico Border,03/01/2001 12:00:00 AM,Pedestrians,4999418,4334330
US-Canada Border,03/01/2001 12:00:00 AM,Personal Vehicles,2787843,2426972
US-Canada Border,03/01/2001 12:00:00 AM,Trucks,596446,555834
US-Canada Border,03/01/2001 12:00:00 AM,Truck Containers Full,475691,432587
US-Mexico Border,03/01/2001 12:00:00 AM,Trucks,388393,350968
US-Canada Border,03/01/2001 12:00:00 AM,Bus Passengers,327366,271985
US-Mexico Border,03/01/2001 12:00:00 AM,Bus Passengers,288306,239512
US-Mexico Border,03/01/2001 12:00:00 AM,Truck Containers Full,223127,190787
US-Mexico Border,03/01/2001 12:00:00 AM,Truck Containers Empty,163252,148754
US-Canada Border,03/01/2001 12:00:00 AM,Rail Containers Full,122179,106026
US-Canada Border,03/01/2001 12:00:00 AM,Truck Containers Empty,88530,82492
US-Canada Border,03/01/2001 12:00:00 AM,Rail Containers Empty,40398,33169
US-Canada Border,03/01/2001 12:00:00 AM,Pedestrians,31446,28340
US-Mexico Border,03/01/2001 12:00:00 AM,Rail Containers Empty,27775,23547
US-Mexico Border,03/01/2001 12:00:00 AM,Rail Containers Full,24924,18556
US-Mexico Border,03/01/2001 12:00:00 AM,Buses,24861,24264
US-Canada Border,03/01/2001 12:00:00 AM,Train Passengers,17558,14790
US-Canada Border,03/01/2001 12:00:00 AM,Buses,12486,10707
US-Canada Border,03/01/2001 12:00:00 AM,Trains,2911,2772
US-Mexico Border,03/01/2001 12:00:00 AM,Train Passengers,1672,1473
US-Mexico Border,03/01/2001 12:00:00 AM,Trains,638,556
US-Mexico Border,03/01/2000 12:00:00 AM,Personal Vehicle Passengers,20547659,19584106
US-Mexico Border,03/01/2000 12:00:00 AM,Personal Vehicles,7790867,7387524
US-Canada Border,03/01/2000 12:00:00 AM,Personal Vehicle Passengers,7000236,5382597
US-Mexico Border,03/01/2000 12:00:00 AM,Pedestrians,4198321,3916273
US-Canada Border,03/01/2000 12:00:00 AM,Personal Vehicles,2859058,2446151
US-Canada Border,03/01/2000 12:00:00 AM,Trucks,636750,568077
US-Canada Border,03/01/2000 12:00:00 AM,Truck Containers Full,493122,376177
US-Mexico Border,03/01/2000 12:00:00 AM,Trucks,414412,367361
US-Canada Border,03/01/2000 12:00:00 AM,Bus Passengers,282823,251596
